City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
44,kaitangata,-46.2817,169.8464,19.93,60,74,1.39,NZ,1678226185
45,ilulissat,69.2167,-51.1,-2.21,47,32,9.45,GL,1678226239
46,singkang,2.1006,102.7994,21.7,97,22,1.78,MY,1678226443
47,necochea,-38.5473,-58.7368,20.51,83,98,4.58,AR,1678226444
48,sapouy,11.5544,-1.7736,29.93,12,100,1.73,BF,1678226444
49,verkhoyansk,67.5447,133.385,-35.94,100,100,1.03,RU,1678226445
50,batagay-alyta,67.8006,130.4114,-36.46,93,26,2.37,RU,1678226250
51,carutapera,-1.195,-46.02,24.65,93,98,3.75,BR,1678226373
52,panjab,34.388,67.0233,-8.77,68,1,1.73,AF,1678226445
53,khandyga,62.6667,135.6,-26.56,100,99,1.08,RU,1678226445
54,faanui,-16.4833,-151.75,27.79,73,96,6.26,PF,1678226189
55,tuktoyaktuk,69.4541,-133.0374,-26.0,76,20,7.2,CA,1678226182
56,mahanoro,-19.9,48.8,24.31,90,97,1.87,MG,1678226446
57,morant bay,17.8815,-76.4093,28.79,70,33,3.82,JM,1678226446
58,ancud,-41.8697,-73.8203,14.94,66,75,2.48,CL,1678226185
59,luderitz,-26.6481,15.1594,16.11,89,0,3.83,NA,1678226202
60,waipawa,-41.4122,175.5153,18.34,70,48,3.35,NZ,1678226280
61,rawson,-43.3002,-65.1023,21.16,37,0,8.75,AR,1678226447
62,miri,4.4148,114.0089,24.08,94,40,0.0,MY,1678226115
63,filingue,14.3521,3.3168,31.3,9,100,4.1,NE,1678226448
64,qaanaaq,77.484,-69.3632,-13.51,92,62,2.2,GL,1678226184
65,saint-philippe,-21.3585,55.7679,25.77,88,82,5.16,RE,1678226253
66,mount gambier,-37.8333,140.7667,12.11,58,100,4.15,AU,1678226166
67,humaita,-7.5061,-63.0208,26.18,83,99,0.82,BR,1678226448
68,hobart,-42.8794,147.3294,10.92,70,75,10.8,AU,1678226188
69,bethel,41.3712,-73.414,5.2,52,80,2.68,US,1678226176
70,albany,42.6001,-73.9662,-0.43,58,95,3.58,US,1678226178
71,kodiak,57.79,-152.4072,2.73,70,0,2.06,US,1678226168
72,hermanus,-34.4187,19.2345,18.22,86,100,1.92,ZA,1678226188
73,asfi,32.2994,-9.2372,16.34,93,27,2.61,MA,1678226449
74,souillac,-20.5167,57.5167,25.21,88,75,3.09,MU,1678226221
75,shellbrook,53.2168,-106.4011,-15.43,82,100,5.34,CA,1678226450
76,vaini,-21.2,-175.2,27.09,61,20,4.12,TO,1678226207
77,kapaa,22.0752,-159.319,26.73,55,0,9.26,US,1678226154
78,bluff,-46.6,168.3333,17.05,81,10,1.98,NZ,1678226172
79,nkhata bay,-11.6066,34.2907,23.33,87,100,2.15,MW,1678226450
80,new norfolk,-42.7826,147.0587,10.72,71,86,4.02,AU,1678226205
81,mingrelskaya,45.0134,38.3379,7.9,66,72,4.34,RU,1678226451
82,longyearbyen,78.2186,15.6401,-13.09,61,75,5.14,SJ,1678226199
83,oktyabrskiy,54.4815,53.471,-10.92,98,97,2.84,RU,1678226451
84,miles city,46.4083,-105.8406,-3.27,79,100,2.07,US,1678226452
85,nikolskoye,59.7035,30.7861,-7.06,97,83,2.29,RU,1678226180
86,college,64.8569,-147.8028,2.55,79,100,0.0,US,1678226452
87,sao gabriel da cachoeira,-0.1303,-67.0892,27.89,83,20,2.06,BR,1678226453
88,chardara,41.2547,67.9692,17.65,41,100,8.94,KZ,1678226453
89,cervo,43.6702,-7.4101,14.42,73,100,9.67,ES,1678226454
90,butaritari,3.0707,172.7902,27.6,73,57,6.66,KI,1678226200
91,yanaul,56.2719,54.9309,-7.88,97,98,3.82,RU,1678226454
92,antalaha,-14.9003,50.2788,24.42,88,92,1.93,MG,1678226454
93,lorengau,-2.0226,147.2712,26.17,83,100,3.92,PG,1678226211
94,olinda,-8.0089,-34.8553,27.85,69,40,4.63,BR,1678226347
95,barrow,71.2906,-156.7887,-5.99,93,75,2.57,US,1678226171
96,mitsamiouli,-11.3847,43.2844,27.14,73,100,4.82,KM,1678226455
97,manokwari,-0.8667,134.0833,25.12,81,88,1.29,ID,1678226321
98,alexandria,31.2156,29.9553,12.3,64,43,1.28,EG,1678226455
99,honningsvag,70.9821,25.9704,-7.14,68,75,5.66,NO,1678226318
100,nizhniy kuranakh,58.8353,125.4869,-29.5,100,79,1.34,RU,1678226456
101,saskylakh,71.9167,114.0833,-24.7,95,100,3.09,RU,1678226189
102,yarovoye,52.9273,78.58,4.23,97,100,11.58,RU,1678226456
103,ati,13.2154,18.3353,29.5,10,41,6.61,TD,1678226457
104,lagoa,39.05,-27.9833,14.8,80,3,16.83,PT,1678226214
105,san-pedro,4.7485,-6.6363,26.44,88,94,4.01,CI,1678226277
106,mbaiki,3.8678,17.9892,25.65,45,58,1.27,CF,1678226457
107,yar-sale,66.8333,70.8333,-22.82,95,98,6.51,RU,1678226209
108,kem,64.9555,34.5793,-17.72,100,95,2.44,RU,1678226384
109,hambantota,6.1241,81.1185,24.19,100,0,2.57,LK,1678226186
110,atuona,-9.8,-139.0333,26.45,76,52,3.84,PF,1678226168
111,ipswich,52.0592,1.1555,-0.08,81,0,0.51,GB,1678226458
112,zasheyek,67.4066,32.5499,-16.7,99,95,1.77,RU,1678226459
113,vaasa,63.096,21.6158,-8.3,85,0,3.58,FI,1678226459
114,grand-lahou,5.1367,-5.0242,27.07,84,88,5.05,CI,1678226460
115,atasu,48.6814,71.6433,0.03,91,100,5.28,KZ,1678226460
116,aloleng,16.1307,119.7824,22.54,75,3,4.04,PH,1678226461
117,aswan,24.0934,32.907,21.61,21,0,3.09,EG,1678226113
118,kudahuvadhoo,2.6708,72.8944,27.84,75,4,6.31,MV,1678226461
119,tiksi,71.6872,128.8694,-25.25,96,100,2.65,RU,1678226196
120,agadez,19.75,10.25,25.76,14,36,2.83,NE,1678226462
121,borogontsy,62.6683,131.1683,-30.64,100,97,0.23,RU,1678226462
122,pisco,-13.7,-76.2167,29.03,58,0,5.14,PE,1678226095
123,pochutla,15.7432,-96.4661,32.12,49,100,3.59,MX,1678226220
124,ambovombe,-25.1667,46.0833,23.25,94,100,6.03,MG,1678226463
125,puerto ayora,-0.7393,-90.3518,28.98,92,100,4.02,EC,1678226170
126,bredasdorp,-34.5322,20.0403,18.01,87,96,0.82,ZA,1678226169
127,sitka,57.0531,-135.33,4.94,36,20,0.0,US,1678226219
128,lebu,-37.6167,-73.65,17.2,84,99,5.54,CL,1678226184
129,upernavik,72.7868,-56.1549,-13.67,93,71,2.41,GL,1678226241
130,arraial do cabo,-22.9661,-42.0278,25.98,78,40,8.75,BR,1678226164
131,smirnykh,49.75,142.8333,-8.51,89,100,1.59,RU,1678226464
132,champerico,14.3,-91.9167,34.3,62,100,4.45,GT,1678226258
133,mount isa,-20.7333,139.5,20.87,100,100,8.23,AU,1678226243
134,santa rosa,14.3122,121.1114,23.99,86,0,2.95,PH,1678225933
135,mahina,-17.5065,-149.489,28.87,74,40,7.2,PF,1678226268
136,onega,63.9061,38.1404,-13.18,99,98,2.11,RU,1678226464
137,zimovniki,47.1483,42.4633,4.38,66,94,5.21,RU,1678226465
138,nizhnyaya omka,55.4338,74.9426,-4.34,95,100,7.99,RU,1678226465
139,mawana,29.1,77.9167,16.66,28,1,0.93,IN,1678226455
140,clyde river,70.4692,-68.5914,-9.87,79,75,10.29,CA,1678226248
141,saurimo,-9.6608,20.3916,17.64,97,99,1.71,AO,1678226465
142,nouadhibou,20.931,-17.0347,23.99,46,0,6.17,MR,1678226466
143,salinopolis,-0.6136,-47.3561,25.71,88,98,5.8,BR,1678226233
144,castel san giovanni,45.0583,9.4335,12.21,78,55,0.68,IT,1678226466
145,sorong,-0.8833,131.25,26.53,82,8,2.22,ID,1678226467
146,husavik,66.0449,-17.3389,-7.43,85,100,9.05,IS,1678226297
147,east london,-33.0153,27.9116,21.9,92,100,6.43,ZA,1678225959
148,ust-kan,50.9276,84.761,2.95,89,100,5.62,RU,1678226468
149,kiunga,-6.1219,141.2906,23.35,97,100,1.0,PG,1678226468
150,narsaq,60.9167,-46.05,-5.86,76,19,3.67,GL,1678226211
151,cabo san lucas,22.8909,-109.9124,26.14,54,97,5.15,MX,1678226176
152,bud,39.447,-86.1758,10.67,42,4,6.18,US,1678226321
153,gazojak,41.1875,61.4036,8.86,88,100,7.16,TM,1678226469
154,chokurdakh,70.6333,147.9167,-39.3,100,58,1.12,RU,1678226230
155,mangrol,21.1167,70.1167,23.76,64,0,4.07,IN,1678226469
156,havre-saint-pierre,50.2334,-63.5986,5.2,75,100,6.69,CA,1678226469
157,coari,-4.085,-63.1414,24.75,93,100,0.44,BR,1678226470
158,mareeba,-17.0,145.4333,24.13,95,92,0.45,AU,1678226470
159,talaya,61.3833,152.75,-30.64,99,99,1.4,RU,1678226470
160,young,-32.6833,-57.6333,31.52,26,47,2.41,UY,1678226471
161,mandurah,-32.55,115.7,16.66,54,58,7.65,AU,1678226471
162,camacupa,-12.0167,17.4833,16.95,98,99,2.04,AO,1678226472
163,chuy,-33.6971,-53.4616,23.87,85,20,2.53,UY,1678226206
164,carnarvon,-24.8667,113.6333,25.4,76,0,6.2,AU,1678226199
165,tuatapere,-46.1333,167.6833,19.69,69,6,1.74,NZ,1678226175
